Animal	Tag	Sex	Weight	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
B56595	900200000633514	Male	0	Default		2021-02-16 13:25:25.228	2021-03-29 09:33:03.663	2	6231	114488.987	29242	28407.5859999999	128012	16063.0413307	6298.99200813053	36.2	2256	30.5	8922	0.0	0	0.0	0
B56596	992000000490050	Male	0	Default		2021-02-16 13:23:55.429	2021-03-29 09:33:53.505	1	8488	130238.983000001	32703	27250.804	116341	14526.8877342	6258.11299673002	37.4	3176	32.9	10766	0.0	0	0.0	0
B56858	900200000633005	Male	0	Default		2021-02-16 13:41:27.483	2021-03-29 09:32:54.868	4	7356	158707.300000001	34602	29520.2090000001	135466	16614.2285393	6641.4020022396	36.1	2657	28.4	9831	0.0	0	0.0	0
B56859	900200000633546	Male	0	Default		2021-02-16 13:47:50.168	2021-03-29 09:33:06.083	4	6807	199230.589	33962	32734.2760000001	134655	17040.6429934	6515.85402299371	37.5	2552	33.2	11276	0.0	0	0.0	0
B56860	900200000634524	Male	0	Default		2021-02-16 13:30:21.735	2021-03-29 09:22:30.774	1	7165	124121.45	28534	22641.2269999999	106919	12862.129443	4850.35801215097	44.2	3170	36.5	10406	0.0	0	0.0	0
B56887	900200000633904	Male	0	Default		2021-02-16 13:28:46.296	2021-03-29 09:33:32.512	4	6814	85917.2690000002	25708	22326.612	106871	13544.3957169	5564.63500033389	33.9	2311	22.2	5696	0.0	0	0.0	0
B56888	900200000634000	Male	0	Default		2021-02-16 13:23:42.684	2021-03-29 09:29:07.752	2	6713	96107.3730000002	27170	20973.7449999999	95572	12254.7927027	4942.59299635515	39.8	2670	36.2	9847	0.0	0	0.0	0
B56889	900200000632876	Male	0	Default		2021-02-16 13:27:32.779	2021-03-29 09:29:35.967	4	6545	338180.645000001	50299	47151.2510000001	125795	15872.7206008	6395.83800032921	33.1	2165	18.4	9255	0.0	0	0.0	0
B56890	900200000633314	Male	0	Default		2021-02-16 14:19:34.075	2021-03-29 09:25:19.676	3	6268	260487.817	40437	37896.474	142971	17142.0494363	6556.4380270578	32.0	2006	23.3	9403	0.0	0	0.0	0
B56594	992000000492353	Female	0	Default		2021-02-16 13:24:31.004	2021-03-28 11:56:49.562	2	9521	106266.431	23131	23919.914	107784	13914.6212932	6369.88098820206	33.1	3153	27.4	6347	0.0	0	0.0	0
B56855	900200000632423	Female	0	Default		2021-02-16 14:05:55.102	2021-03-28 11:58:39.793	3	5706	116533.617999999	20623	22846.529	108654	13189.5842841	5313.08699150197	31.2	1781	26.6	5496	0.0	0	0.0	0
B56856	900200000634210	Female	0	Default		2021-02-16 13:27:38.462	2021-03-28 11:58:13.442	3	8133	91654.1150000002	22133	18944.1479999999	91278	11624.7929968	4983.89999484364	35.4	2877	30.5	6749	0.0	0	0.0	0
B56857	900200000633862	Female	0	Default		2021-02-16 13:27:06.036	2021-03-28 11:47:33.250	1	8363	94679.0420000003	26405	22723.691	114125	13822.7560093	6008.52399403066	34.5	2884	28.5	7526	0.0	0	0.0	0
B56883	900200000634896	Female	0	Default		2021-02-16 14:35:04.848	2021-03-28 11:50:40.713	3	4540	86667.2429999999	19133	21019.699	111037	13582.8386816	5065.20501513127	33.7	1529	32.6	6245	0.0	0	0.0	0
B56884	900200000636135	Female	0	Default		2021-02-16 16:08:41.202	2021-03-28 11:33:35.790	3	6386	84299.3689999999	19485	17481.053	85816	10164.0780077	3936.59400876705	39.7	2538	33.6	6550	0.0	0	0.0	0
B56885	900200000633897	Female	0	Default		2021-02-16 13:24:33.055	2021-03-28 11:42:22.330	1	6964	113877.12	20918	21194.8389999999	90583	11600.6554425	4768.79799471842	35.1	2443	28.6	5976	0.0	0	0.0	0
B56886	900200000636861	Female	0	Default		2021-02-16 13:24:05.164	2021-03-28 11:53:56.568	3	7111	79393.3860000004	22461	18650.775	97047	11384.2759114	4669.21198504046	36.7	2610	32.1	7214	0.0	0	0.0	0
