Animal,Sex,DOB,RFID,Cohort,Group
B56594,F,12/28/20,992000000492353,1,idkn
B56595,M,12/28/20,900200000633514,1,control
B56596,M,12/28/20,992000000490050,1,autokn
B56855,F,12/31/20,900200000632423,1,control
B56856,F,12/31/20,900200000634210,1,autokn
B56857,F,12/31/20,900200000633862,1,autokn
B56858,M,12/31/20,900200000633005,1,control
B56859,M,12/31/20,900200000633546,1,ddkn
B56860,M,12/31/20,900200000634524,1,autokn
B56883,F,1/1/21,900200000634896,1,idkn
B56884,F,1/1/21,900200000636135,1,control
B56885,F,1/1/21,900200000633897,1,idkn
B56886,F,1/1/21,900200000636861,1,control
B56887,M,1/1/21,900200000633904,1,autokn
B56888,M,1/1/21,900200000634000,1,control
B56889,M,1/1/21,900200000632876,1,idkn
B56890,M,1/1/21,900200000633314,1,ddkn
